w,seed,arm,horizon,collapsed,mean_S,converged_S,profit,final_value_loss,explained_variance
0.7,58,single,600000,0,0.0,5.747158736363053,212.30309999999992,1380.7641210104805,0.5648542206849716
0.7,59,single,600000,0,19.436657428741455,12.841608789563178,-27.753599999999928,1529.583893241326,0.5464903473726841
0.7,60,single,600000,1,0.0,0.0,-128.1,1634.655573225208,0.4001527253693425
0.7,61,single,600000,1,0.0,0.0,-128.1,982.268457377029,0.6582194852345526
0.3,42,single,300000,1,0.0,0.05689142346382141,-128.1,1233.8563900852475,0.32071680607449293
0.3,42,segmented,300000,1,0.0,0.05689142346382141,-128.1,1233.6192068333642,0.3208853745052957
0.3,43,single,300000,1,0.0,0.15486808121204376,-128.1,1312.8967711619841,0.3191404756572511
0.3,43,segmented,300000,1,0.0,0.15486808121204376,-128.1,1311.9065558409077,0.3191578442979063
0.3,44,single,300000,1,0.0,0.0,-128.1,1183.8609025199867,0.32374565112285125
0.3,44,segmented,300000,1,0.0,0.0,-128.1,1183.750369616995,0.3238719663558862
0.3,45,single,300000,1,0.0,0.0,-128.1,1174.1161798026146,0.3302754478322135
0.3,45,segmented,300000,1,0.0,0.0,-128.1,1173.8114816040732,0.33024333824968743
0.3,46,single,300000,1,0.0,0.0,-128.1,1256.9035156510834,0.3008070583017463
0.3,46,segmented,300000,1,0.0,0.0,-128.1,1256.4713427290956,0.3011395971999209
0.3,47,single,300000,1,0.0,0.0,-128.1,1289.9453928412195,0.25113127870946866
0.3,47,segmented,300000,1,0.0,0.0,-128.1,1289.288573123247,0.25162341146387607
0.3,48,single,300000,1,0.0,0.0016672849655151368,-128.1,1180.614111786758,0.315237994122709
0.3,48,segmented,300000,1,0.0,0.0016672849655151368,-128.1,1180.3949938934413,0.31541345465896475
0.3,49,single,300000,1,0.0,0.0,-128.1,1131.7876475320584,0.3422787533356593
0.3,49,segmented,300000,1,0.0,0.0,-128.1,1131.7632703558331,0.34237176447342604
0.6,42,single,300000,1,0.0,5.360872688144445,-128.1,1689.6828340057634,0.4386957556518734
0.6,42,segmented,300000,1,0.0,5.360872688144445,-128.1,1689.5377479140236,0.4395567944161912
0.6,43,single,300000,1,0.0,0.45071289837360384,-128.1,1697.8695840341072,0.46538786004241717
0.6,43,segmented,300000,1,0.0,0.45071289837360384,-128.1,1695.979148456106,0.46573278575371474
0.6,44,single,300000,1,0.0,0.0,-128.1,1323.1324145586063,0.48320033203842294
0.6,44,segmented,300000,1,0.0,0.0,-128.1,1322.1535486878836,0.48357606621888966
0.6,45,single,300000,0,16.28786325454712,7.80560622960329,66.09349999999993,1609.632668204457,0.4659622277204807
0.6,45,segmented,300000,0,57.51931667327881,7.80560622960329,113.26279999999974,1610.180197941272,0.4665873849239105
0.6,46,single,300000,1,0.0,0.0,-128.1,1457.2281536200107,0.4232815356336088
0.6,46,segmented,300000,1,0.0,0.0,-128.1,1455.5091910098693,0.42398110859923893
0.6,47,single,300000,1,0.0,0.04658120572566986,-128.1,1357.1570355081149,0.4650954260275914
0.6,47,segmented,300000,1,0.0,0.04658120572566986,-128.1,1355.7364091813395,0.4656979869573544
0.6,48,single,300000,1,0.0,0.2577494978904724,-128.1,1412.9175263407565,0.4417447175225641
0.6,48,segmented,300000,1,0.0,0.2577494978904724,-128.1,1412.2856323372605,0.4420386543895444
0.6,49,single,300000,1,0.0,0.0,-128.1,1256.3857861358556,0.5069126961832373
0.6,49,segmented,300000,1,0.0,0.0,-128.1,1254.7316978758897,0.5077228455716728
0.7,42,single,300000,0,76.65067911148071,9.259818218648434,-6.074300000000005,2271.80348437274,0.429129181509344
0.7,42,segmented,300000,0,59.62236225605011,9.259818218648434,-60.22629999999991,2270.208966007939,0.42990453694111264
0.7,43,single,300000,1,0.0,11.904656602442264,-128.1,2403.4085949063638,0.40610916008297193
