run_idx,w,lambda_loss,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
28,0.65,1,50,117.4873560667038,44.00900000000007,0.35654437159643876,False,892.4853046156402,0.5035118248281826
30,0.65,1,52,136.11037284135818,212.6720000000002,0.20360502972984595,False,989.244232848295,0.5095993307793242
34,0.65,1,56,0.0,195.7241999999999,0.2166065596947222,False,975.7282103437982,0.4613892092791378
35,0.65,1,57,0.0,334.23229999999995,0.1469518669362467,False,829.3484278600101,0.5062205174412483
32,0.65,1,54,142.05513894557953,254.34399999999954,0.1514413724832287,False,1036.7593951026938,0.5100856533226295
31,0.65,1,53,0.0,-128.1,0.5149925463760175,True,923.9047206900398,0.4430294782241695
33,0.65,1,55,0.0,55.7309000000001,0.4024705809572685,False,823.4784793821154,0.43868177702538985
36,0.65,1,58,0.0,-58.076100000000075,0.491551355560013,False,801.1830420317474,0.4751971149737509
37,0.65,1,59,228.77884842455387,460.97000000000037,0.053830898053235224,False,919.801861813537,0.5262711717723272
39,0.65,1,61,0.0,267.6767,0.17693848355210134,False,916.0214787746767,0.49544047952717185
38,0.65,1,60,0.0,-128.1,0.5121162746831248,True,663.5320965823964,0.5264020274655942
41,0.75,1,43,0.0,-5.878199999999966,0.4027033807448399,False,1148.2789207404155,0.4345854546906602
40,0.75,1,42,0.0,282.23490000000027,0.23911278647314696,False,923.7544404858538,0.4923005692151367
43,0.75,1,45,161.02160513401031,402.5420000000002,0.04147110747986096,False,1076.8779876991553,0.5534645040861816
42,0.75,1,44,0.0,-128.1,0.5173429937269243,True,739.9923088285658,0.5833672542507068
44,0.75,1,46,0.0,127.94380000000012,0.3223612824686146,False,1076.6705537301523,0.5732220423399893
45,0.75,1,47,95.26818990707397,25.787999999999908,0.377942004318121,False,1150.796793635007,0.4831049298374062
46,0.75,1,48,238.3057251572609,460.97000000000037,0.04542586911679271,False,1027.4500467349321,0.4920993582942547
47,0.75,1,49,83.48391950130463,-116.91000000000004,0.5217183355545782,False,1020.1408114550122,0.4511988650466132
48,0.75,1,50,243.80625411868095,460.97000000000037,0.036138690124453685,False,1103.675042096434,0.5451809946829692
49,0.75,1,51,120.52151560783386,78.66699999999992,0.32726592945060007,False,1199.1698341141398,0.5596552474472003
50,0.75,1,52,73.34506511688232,432.9180000000001,0.09375571173349619,False,1185.9839045098024,0.5407933159930329
51,0.75,1,53,0.0,432.3095000000001,0.10385296084620854,False,1108.9488457638993,0.47090380696149975
52,0.75,1,54,212.35476434230804,460.97000000000037,0.044185780254916034,False,1305.7169271844064,0.4706979257205867
53,0.75,1,55,37.30340301990509,-128.1,0.5243769008931682,False,1134.2675764600096,0.4707145092961116
58,0.75,1,60,0.0,-128.1,0.5121162746831248,True,720.6892835546422,0.5709195680056627
55,0.75,1,57,0.0,252.80220000000003,0.15766428140769856,False,1086.408865041271,0.5357894849700805
56,0.75,1,58,30.995741486549377,128.31990000000022,0.2697527012268978,False,973.3351050059001,0.48975945276837063
