w,seed,checkpoint,mean_S,profit,lost_sales,bullwhip,collapsed
0.7,42,150000,0.0,-128.1,0.5158669877768538,0.0,1
0.7,42,300000,0.0,164.5951999999999,0.23834656093506618,0.6916827132901403,0
0.7,42,600000,0.0,381.9890000000003,0.12763361744880153,3.690592500330733,0
0.8,44,150000,0.0,-128.1,0.5173429937269243,0.0,1
0.8,44,300000,17.344295978546143,105.2905999999999,0.3031286440745881,0.38141231638720213,0
0.8,44,600000,271.3923119008541,460.97000000000037,0.03857981550418275,4.164843127159678,0
0.8,45,150000,0.0,-128.1,0.5229070936751181,0.0,1
0.8,45,300000,193.61064955592155,462.43399999999986,0.04147110747986096,3.7338805638682437,0
0.8,45,600000,250.6368439644575,460.97000000000037,0.04147110747986096,3.951343354428915,0
0.8,46,150000,0.0,69.89990000000003,0.31744887426368035,0.24057253453698113,0
0.8,46,300000,0.0,433.4970999999999,0.08861228823815374,2.6532156605268336,0
0.8,46,600000,230.81790655851364,460.97000000000037,0.02594115887956696,3.7481355504770297,0
0.8,47,150000,0.0,-128.1,0.5165791280650451,0.0,1
0.8,47,300000,59.37419831752777,240.98319999999975,0.16133187332600224,2.8839919859671146,0
0.8,47,600000,257.17329047620296,460.97000000000037,0.03585400495866623,3.8788693435316297,0
0.9,42,150000,65.2841180562973,43.326200000000185,0.35775364347620026,1.7752667134230933,0
0.9,42,300000,228.32719795405865,460.97000000000037,0.03710145484061332,3.939027337702001,0
0.9,42,600000,195.6835240125656,461.946,0.03710145484061332,3.793822306151018,0
0.9,43,150000,0.0,166.3782999999999,0.33631865024904967,1.4425348887829934,0
0.9,43,300000,0.0,389.8476999999999,0.1266062404723904,6.458040624825836,0
0.9,43,600000,269.3741098046303,460.97000000000037,0.03799300701066997,4.636335926452752,0
0.8,48,150000,0.0,-128.1,0.5208458755746784,0.0,1
0.8,48,300000,0.0,133.3028,0.27779731219549014,1.188814706644632,0
0.8,48,600000,0.0,426.50000000000034,0.10753241085136793,3.824321532148333,0
0.8,49,150000,0.0,-128.1,0.5314132341582017,0.0,1
0.8,49,300000,52.00427770614624,-4.411499999999991,0.45488069964697087,0.14868197122592175,0
0.8,49,600000,226.79727710783482,460.97000000000037,0.05579236710804858,3.822023309252516,0
0.9,44,150000,0.0,-128.1,0.5173429937269243,0.0,1
0.9,44,300000,0.0,166.86640000000006,0.2362643891212765,1.5658182544548818,0
0.9,44,600000,241.79052747786045,460.97000000000037,0.03857981550418275,4.164843127159678,0
0.9,45,150000,78.91280949115753,-49.324900000000085,0.47925637807493227,3.5050412879516264,0
0.9,45,300000,196.9531662762165,461.70200000000034,0.04147110747986096,3.841842633238577,0
0.9,45,600000,267.37255230546,460.97000000000037,0.04147110747986096,3.951343354428915,0
0.9,46,150000,121.3291883468628,85.6913999999999,0.3131545644447387,0.8634250735980823,0
0.9,46,300000,241.63788557052612,460.97000000000037,0.02594115887956696,3.7481355504770297,0
0.9,46,600000,257.3540098965168,460.97000000000037,0.02594115887956696,3.7481355504770297,0
0.9,47,150000,0.0,-128.1,0.5165791280650451,0.0,1
0.9,47,300000,147.13090658187866,294.5920999999996,0.10817183970620407,1.90748177631631,0
0.9,47,600000,130.17207384109497,206.43129999999996,0.222180687563095,3.4130065195020385,0
0.9,48,150000,0.0,-128.1,0.5208458755746784,0.0,1
0.9,48,300000,200.3633677959442,460.97000000000037,0.04542586911679271,3.824321532148333,0
0.9,48,600000,237.58492432534695,460.97000000000037,0.04542586911679271,3.824321532148333,0
0.9,49,150000,0.0,-21.386600000000037,0.4675025990488792,0.08992549334161089,0
0.9,49,300000,54.27864193916321,461.7501000000003,0.08519371669627335,3.8217843381519954,0
0.9,49,600000,238.2851168513298,460.87480000000033,0.05579236710804858,3.819018484305974,0
