run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
56,0.4,58,0.0,-128.1,0.5139874647024886,True,1196.1528164246824,0.3848597887489531
58,0.4,60,0.0,-128.1,0.5121162746831248,True,1157.2328651732528,0.3834729925689534
55,0.4,57,0.0,-128.1,0.519507414983065,True,1186.1441944176654,0.3856243678392508
57,0.4,59,0.0,-128.1,0.5277165188516677,True,1145.4614882401254,0.39477120091517764
59,0.4,61,0.0,-128.1,0.5177674686837654,True,1150.5458108776995,0.3845400509034467
49,0.4,51,0.0,-128.1,0.518289184051047,True,1365.0013699197364,0.376845861856754
48,0.4,50,0.0,-128.1,0.5153191370466681,True,1212.2311297098797,0.36020191001076984
60,0.5,42,0.0,-128.1,0.5158669877768538,True,1464.4985185889436,0.3957626436892738
50,0.4,52,0.0,-128.1,0.5188447054617819,True,1159.9983897521622,0.38065008596222627
61,0.5,43,0.0,-128.1,0.5165728289268111,True,1668.889950852788,0.4411868173469845
62,0.5,44,0.0,-128.1,0.5173429937269243,True,1186.5862937275162,0.457639390650468
64,0.5,46,0.0,-128.1,0.508184749849319,True,1286.171856752488,0.44374284880538273
63,0.5,45,0.0,-128.1,0.5229070936751181,True,1335.0138593037923,0.4301091446899451
66,0.5,48,0.0,-128.1,0.5208458755746784,True,1267.0948335609546,0.4275436843944411
65,0.5,47,0.0,-128.1,0.5165791280650451,True,1164.3868351254366,0.455528826922433
68,0.5,50,0.0,-128.1,0.5153191370466681,True,1264.3303302536663,0.4260347361365954
70,0.5,52,0.0,-128.1,0.5188447054617819,True,1333.832712683175,0.40892215251413166
72,0.5,54,0.0,-128.1,0.5174862706277183,True,1218.5305527450691,0.44750572263430327
69,0.5,51,0.0,-128.1,0.518289184051047,True,1193.9996901813738,0.4594242457841706
67,0.5,49,0.0,-128.1,0.5314132341582017,True,1152.5187240013709,0.4799125453727877
73,0.5,55,0.0,-128.1,0.5243769008931682,True,1170.6863810177883,0.45798045861670095
71,0.5,53,0.0,-128.1,0.5149925463760175,True,1347.1628748141122,0.37987313330428213
74,0.5,56,0.0,-128.1,0.5182402578694825,True,1196.2630402698135,0.4471292819859635
77,0.5,59,0.0,-128.1,0.5277165188516677,True,1186.1706681362923,0.4642012828690374
79,0.5,61,0.0,-128.1,0.5177674686837654,True,1175.46548297806,0.452753603267364
80,0.6,42,0.0,-128.1,0.5158669877768538,True,1598.9571126345554,0.43672995052785957
75,0.5,57,0.0,-128.1,0.519507414983065,True,1302.0882379580767,0.39881117078356254
76,0.5,58,0.0,-128.1,0.5139874647024886,True,1210.0149856784744,0.4362803511003144
78,0.5,60,0.0,-128.1,0.5121162746831248,True,1268.0717859382305,0.40219971352917516
81,0.6,43,14.926865696907043,-128.1,0.5165728289268111,False,1921.6496193562477,0.4694313816089406
82,0.6,44,0.0,-128.1,0.5173429937269243,True,1335.2002032831524,0.4774372179984537
83,0.6,45,81.85184001922607,-88.04139999999998,0.48736899977089765,False,1898.7613781420932,0.4635528907434553
85,0.6,47,0.0,-128.1,0.5165791280650451,True,1557.2887224811432,0.36126378783558166
84,0.6,46,0.0,-128.1,0.508184749849319,True,1521.430201053891,0.4677522636504255
90,0.6,52,0.0,-128.1,0.5188447054617819,True,1440.2934818235217,0.4156120285137087
91,0.6,53,0.0,-128.1,0.5149925463760175,True,1607.1210764393168,0.42571656205333197
86,0.6,48,0.0,-128.1,0.5208458755746784,True,1485.2041162974474,0.43684350985747117
87,0.6,49,0.0,-128.1,0.5314132341582017,True,1371.406131776989,0.4643263993227584
89,0.6,51,100.59759020805359,-50.16000000000018,0.4485241693274055,False,1795.5692435370552,0.4325146872518409
92,0.6,54,0.0,-128.1,0.5174862706277183,True,1382.4384611928565,0.480988862995918
88,0.6,50,0.0,-128.1,0.5153191370466681,True,1379.5422566557882,0.4622053949114604
93,0.6,55,0.0,-128.1,0.5243769008931682,True,1561.0084068624383,0.4446881520760875
