run_idx,w,lambda_loss,seed,algo,env,mean_reward,collapsed,final_value_loss,final_explained_variance
169,0.7,1,51,PPO,MPE_CoopNav,-75.52677125446309,True,32.32683633555218,0.11302345327164849
103,0.55,1,45,PPO,MPE_CoopNav,-101.61715081336362,True,30.289167540326773,0.4346300401604435
141,0.65,1,43,PPO,MPE_CoopNav,-67.93574809533489,True,29.356353122171456,0.18705219709613716
139,0.6,1,61,PPO,MPE_CoopNav,-86.4720739096661,True,28.954255226326964,0.47372581732486796
92,0.5,1,54,PPO,MPE_CoopNav,-76.6631747482866,True,30.033000488806323,0.3045106349696576
153,0.65,1,55,PPO,MPE_CoopNav,-84.45206658112185,True,23.862453173614192,0.4291513794591882
168,0.7,1,50,PPO,MPE_CoopNav,-73.072752551784,True,32.19280226395469,0.20918579172538582
147,0.65,1,49,PPO,MPE_CoopNav,-108.96357754012328,True,23.442724475741542,0.5426208356755491
87,0.5,1,49,PPO,MPE_CoopNav,-87.473279032188,True,22.831616367329097,0.46327193388560367
159,0.65,1,61,PPO,MPE_CoopNav,-88.18554487463638,True,28.305286207867645,0.47186672976586336
145,0.65,1,47,PPO,MPE_CoopNav,-84.59373786616817,True,25.54596033758757,0.4382984748494152
99,0.5,1,61,PPO,MPE_CoopNav,-83.5111983701193,True,23.723468977518184,0.5280521985443927
143,0.65,1,45,PPO,MPE_CoopNav,-58.11175759102777,True,28.67009404786265,0.2398273380098819
105,0.55,1,47,PPO,MPE_CoopNav,-66.77563848137989,True,27.956519495204528,0.3351283443569374
151,0.65,1,53,PPO,MPE_CoopNav,-90.59803445028959,True,26.206965612220397,0.4202553081527715
154,0.65,1,56,PPO,MPE_CoopNav,-82.72524979351802,True,23.715439805728064,0.4872837929238736
152,0.65,1,54,PPO,MPE_CoopNav,-82.60536012606121,True,30.930228273297697,0.2958659791839565
137,0.6,1,59,PPO,MPE_CoopNav,-80.66076642127896,True,30.956252159992953,0.20706085706184524
157,0.65,1,59,PPO,MPE_CoopNav,-88.8209518667159,True,20.266762782669556,0.5626244755717001
156,0.65,1,58,PPO,MPE_CoopNav,-70.10981049826071,True,31.128715827553588,0.2117960953681936
148,0.65,1,50,PPO,MPE_CoopNav,-94.75936540143606,True,27.63536152117689,0.45305116529005285
122,0.6,1,44,PPO,MPE_CoopNav,-79.60047579445593,True,34.64039357322127,0.24815711802618146
158,0.65,1,60,PPO,MPE_CoopNav,-95.97845360299927,True,28.66263383011812,0.3313118297220345
155,0.65,1,57,PPO,MPE_CoopNav,-79.56609896578694,True,20.593673700895568,0.6244862006163933
94,0.5,1,56,PPO,MPE_CoopNav,-83.28491073931005,True,22.080370722644307,0.4974357025571425
136,0.6,1,58,PPO,MPE_CoopNav,-83.5699131306992,True,21.895525561511594,0.425362761581982
163,0.7,1,45,PPO,MPE_CoopNav,-99.0546885665971,True,21.77924868139354,0.5594870104107448
121,0.6,1,43,PPO,MPE_CoopNav,-83.24589249092966,True,27.165776872573836,0.36545286803636295
120,0.6,1,42,PPO,MPE_CoopNav,-101.86162377666503,True,31.69353293845962,0.45209141301704275
164,0.7,1,46,PPO,MPE_CoopNav,-106.53017184638259,True,37.994533297957595,0.28306728464082626
162,0.7,1,44,PPO,MPE_CoopNav,-102.35337017919602,True,23.88709220197839,0.5001225324202133
134,0.6,1,56,PPO,MPE_CoopNav,-70.86810699037062,True,29.534748140278914,0.2743562986542412
135,0.6,1,57,PPO,MPE_CoopNav,-82.03240108707307,True,29.642454218498116,0.4219955846800847
177,0.7,1,59,PPO,MPE_CoopNav,-84.88124280954823,True,35.54578825380372,0.27713576710941545
175,0.7,1,57,PPO,MPE_CoopNav,-84.26932533745615,True,21.78182157020105,0.5781788683559617
110,0.55,1,52,PPO,MPE_CoopNav,-69.11830793016715,True,27.451165564203688,0.3495539317286732
178,0.7,1,60,PPO,MPE_CoopNav,-79.01093335143426,True,32.13621115287654,0.3092786942378507
206,0.8,1,48,PPO,MPE_CoopNav,-82.1123371600363,True,27.079236357679136,0.4927482339201755
127,0.6,1,49,PPO,MPE_CoopNav,-77.59646102434175,True,27.331433143505826,0.4702819541344722
193,0.75,1,55,PPO,MPE_CoopNav,-85.82808406752714,True,29.522545059694984,0.43565786517345645
170,0.7,1,52,PPO,MPE_CoopNav,-88.02446326916333,True,29.950626446175058,0.43197086926611683
183,0.75,1,45,PPO,MPE_CoopNav,-82.60396665793196,True,22.15044507910134,0.5715919658255485
201,0.8,1,43,PPO,MPE_CoopNav,-95.86141076529032,True,24.741486575692008,0.5078990007351211
129,0.6,1,51,PPO,MPE_CoopNav,-71.61683204320678,True,24.243604622455013,0.4835058724300199
117,0.55,1,59,PPO,MPE_CoopNav,-71.95414862029546,True,28.702483626578132,0.3046903498041492
167,0.7,1,49,PPO,MPE_CoopNav,-84.45080607438237,True,29.33713332132249,0.3601375382474687
182,0.75,1,44,PPO,MPE_CoopNav,-84.25347957338887,True,28.475314659635785,0.4570954032766987
114,0.55,1,56,PPO,MPE_CoopNav,-69.15770614909191,True,24.551193696741258,0.31299146698852204
199,0.75,1,61,PPO,MPE_CoopNav,-112.19763069210714,True,29.726715823904957,0.4106493785538533
124,0.6,1,46,PPO,MPE_CoopNav,-75.90236451852444,True,31.84724663082372,0.34430938005142114
200,0.8,1,42,PPO,MPE_CoopNav,-82.79418943223669,True,31.326747244787274,0.4237987170241554
187,0.75,1,49,PPO,MPE_CoopNav,-88.67203333249057,True,31.97283781075447,0.42729347314633115
125,0.6,1,47,PPO,MPE_CoopNav,-96.25158986235513,True,37.19845360348076,0.2984469455503471
181,0.75,1,43,PPO,MPE_CoopNav,-94.40061226904523,True,22.563593385474476,0.5795872561042119
166,0.7,1,48,PPO,MPE_CoopNav,-72.71517470896598,True,23.782225245458676,0.4178932065122717
108,0.55,1,50,PPO,MPE_CoopNav,-85.99382300429812,True,20.292342934748888,0.5844499513401952
111,0.55,1,53,PPO,MPE_CoopNav,-95.17572176277585,True,32.931605776171374,0.3441749886536873
118,0.55,1,60,PPO,MPE_CoopNav,-70.52210323704153,True,26.739417717719352,0.36101578600542494
165,0.7,1,47,PPO,MPE_CoopNav,-85.97238164131504,True,33.51349996348197,0.33630683953264456
142,0.65,1,44,PPO,MPE_CoopNav,-82.37626636688734,True,27.503814535974385,0.4058531902434731
172,0.7,1,54,PPO,MPE_CoopNav,-73.99283451867524,True,37.81119209822558,0.45147266552787124
207,0.8,1,49,PPO,MPE_CoopNav,-107.8276338383885,True,29.090428841220888,0.5090171549464463
106,0.55,1,48,PPO,MPE_CoopNav,-68.69868913478665,True,21.131645492142816,0.5214306387225125
195,0.75,1,57,PPO,MPE_CoopNav,-65.9928053689023,True,30.446122682140363,0.36918698552704954
208,0.8,1,50,PPO,MPE_CoopNav,-61.82715253483226,True,29.15955841361179,0.2743520093902888
171,0.7,1,53,PPO,MPE_CoopNav,-70.51992845755505,True,26.922700243661716,0.3077571595066183
179,0.7,1,61,PPO,MPE_CoopNav,-74.86645784969946,True,28.858270477576998,0.29146241338472817
198,0.75,1,60,PPO,MPE_CoopNav,-78.38913867100626,True,36.4112782152911,0.18571580561037712
161,0.7,1,43,PPO,MPE_CoopNav,-96.10092843733318,True,26.84764463121546,0.4944767756351817

194,0.75,1,56,PPO,MPE_CoopNav,-101.65975420494374,True,35.335929970033035,0.4319015249762584
115,0.55,1,57,PPO,MPE_CoopNav,-110.84186742688114,True,17.723732698475047,0.6365246674601613
174,0.7,1,56,PPO,MPE_CoopNav,-74.39321811280153,True,29.611169789023652,0.4250032048524571
132,0.6,1,54,PPO,MPE_CoopNav,-69.11051338889601,True,39.854043842827316,0.25719152413852386
192,0.75,1,54,PPO,MPE_CoopNav,-111.25912170172296,True,39.30446170979059,0.34187338545098045
180,0.75,1,42,PPO,MPE_CoopNav,-94.71056922682504,True,33.80115572264497,0.252238400824244
176,0.7,1,58,PPO,MPE_CoopNav,-92.97499295664818,True,29.193956679632354,0.3244212932798835
202,0.8,1,44,PPO,MPE_CoopNav,-81.10841596395855,True,27.100603688297443,0.5547217466080234
116,0.55,1,58,PPO,MPE_CoopNav,-93.49148790261705,True,35.37636925130129,0.23636002025820993
203,0.8,1,45,PPO,MPE_CoopNav,-77.13466981449972,True,33.638122168667955,0.3241578485153701
107,0.55,1,49,PPO,MPE_CoopNav,-99.3447423444945,True,25.40554068989088,0.4470063985424371
188,0.75,1,50,PPO,MPE_CoopNav,-65.76327918605497,True,26.120076682717183,0.3796501590866743
184,0.75,1,46,PPO,MPE_CoopNav,-80.83651679662901,True,33.0199664561605,0.24219205918293757
109,0.55,1,51,PPO,MPE_CoopNav,-86.3932082693941,True,25.029150137217492,0.42469317208446095
204,0.8,1,46,PPO,MPE_CoopNav,-129.93892681655132,True,34.51277750493927,0.6020856003697947
191,0.75,1,53,PPO,MPE_CoopNav,-77.77860412069677,True,26.44037689262102,0.4316139700947742
130,0.6,1,52,PPO,MPE_CoopNav,-79.3733926605133,True,26.374644408000112,0.3049263373761415
190,0.75,1,52,PPO,MPE_CoopNav,-85.16895487695821,True,28.298182691883646,0.5264024020061755
197,0.75,1,59,PPO,MPE_CoopNav,-77.69861531279815,True,23.58451535541483,0.547173685672074
126,0.6,1,48,PPO,MPE_CoopNav,-70.71832178003602,True,30.533663080718547,0.2345140331571447
123,0.6,1,45,PPO,MPE_CoopNav,-76.40255875826946,True,25.192711045525293,0.4387744805762466
128,0.6,1,50,PPO,MPE_CoopNav,-68.28614338083271,True,25.154842723484386,0.42095180602789534
133,0.6,1,55,PPO,MPE_CoopNav,-71.78950738504838,True,31.91009716712864,0.30438831358880913
112,0.55,1,54,PPO,MPE_CoopNav,-94.07034829812213,True,23.832702156615166,0.45406357946873627
131,0.6,1,53,PPO,MPE_CoopNav,-97.09044729178267,True,47.36736073292477,0.3511666779176221
186,0.75,1,48,PPO,MPE_CoopNav,-66.26298723953093,True,25.73401485429683,0.3140095389339591
189,0.75,1,51,PPO,MPE_CoopNav,-87.86668126214867,True,32.71005884154047,0.3641310156383832
185,0.75,1,47,PPO,MPE_CoopNav,-66.30745166765779,True,32.88664715976935,0.3481249816324586
196,0.75,1,58,PPO,MPE_CoopNav,-88.16981921125566,True,20.87832135653526,0.55164056627149
