w,lambda,seed,mean_S,profit,lost_sales,bullwhip,mean_order,mean_inventory,collapsed,final_value_loss,final_explained_variance,train_steps
0.4,1.0,60,0.0,-128.1,0.5121162746831248,0.0,0.0,196.51075268817203,1,1157.969378686019,0.3697182300508532,300000
0.4,1.0,61,0.0,-128.1,0.5177674686837654,0.0,0.0,196.4747311827957,1,1112.71579159685,0.40487164055180347,300000
0.5,1.0,42,0.0,-128.1,0.5158669877768538,0.0,0.0,196.29677419354837,1,1238.7515517058196,0.45325958563221824,300000
0.5,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,1422.66885195349,0.44086706447295654,300000
0.5,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,1101.9964950300691,0.48888697596187264,300000
0.5,1.0,45,49.46638643741608,-128.1,0.5229070936751181,0.0,0.0,196.19892473118279,0,1653.948243191711,0.43154388602472776,300000
0.5,1.0,46,0.0,-128.1,0.508184749849319,0.0,0.0,196.58602150537635,1,1240.0415356127965,0.4593962664023424,300000
0.5,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,1175.7064857222076,0.45831281901934207,300000
0.5,1.0,48,0.0,-128.1,0.5208458755746784,0.0,0.0,196.1295698924731,1,1258.817218710962,0.4206662095255322,300000
0.5,1.0,49,0.0,-128.1,0.5314132341582017,0.0,0.0,196.21075268817205,1,1139.406061979984,0.4784742435838422,300000
0.5,1.0,50,0.0,-128.1,0.5153191370466681,0.0,0.0,196.30752688172043,1,1346.916204916582,0.3692276389935078,300000
0.5,1.0,51,0.0,-128.1,0.518289184051047,0.0,0.0,196.64139784946235,1,1325.3643328587896,0.42708840545935506,300000
0.5,1.0,52,0.0,-128.1,0.5188447054617819,0.0,0.0,196.53870967741938,1,1296.0143962544935,0.41664032994681954,300000
0.5,1.0,53,0.0,-128.1,0.5149925463760175,0.0,0.0,196.33440860215052,1,1344.6355037721812,0.38213968238769436,300000
0.5,1.0,54,0.0,-128.1,0.5174862706277183,0.0,0.0,196.18870967741935,1,1319.2694039260562,0.42419843452099043,300000
0.5,1.0,55,0.0,-128.1,0.5243769008931682,0.0,0.0,196.202688172043,1,1211.4337976939319,0.44597440626886153,300000
0.5,1.0,56,0.0,-128.1,0.5182402578694825,0.0,0.0,196.23709677419356,1,1411.438380453865,0.356593460481391,300000
