lambda,timestep,order_qty,inventory,backlog,true_reward
5.0,110000,0.9894696,54.64719235364397,0.0,-281.75463597459566
5.0,115000,1.0980939,52.97718040621267,0.0,-222.66570557184397
5.0,120000,0.88113105,53.9989247311828,0.0,-212.20377612309832
5.0,125000,0.7963014,54.190561529271214,0.0,-212.36150745393596
5.0,130000,0.852128,54.63691756272402,0.0,-217.25212725939923
5.0,135000,0.92939556,54.168697729988054,0.0,-208.16456508480078
5.0,140000,0.7143504,54.38148148148149,0.0,-214.160908593154
5.0,145000,1.0798055,55.132616487455195,0.0,-223.25620234202748
5.0,150000,1.2095764,55.48530465949821,0.0,-262.26924014438686
10.0,5000,0.9269919,55.28064516129032,0.0,-254.44058304594355
10.0,10000,1.4860812,54.515770609319006,0.0,-226.23211881286838
10.0,15000,0.8616745,54.44647550776582,0.0,-205.7596336487957
10.0,20000,0.85222185,53.14719235364397,0.0,-153.05737465738557
10.0,25000,1.0437077,51.72974910394266,0.0,-107.72673780921497
10.0,30000,0.8374718,52.80692951015532,0.0,-147.02100148780087
10.0,35000,1.2364599,50.571804062126645,0.0,-69.86740564701329
10.0,40000,1.3398389,48.75280764635603,0.0,-28.754364062843432
10.0,45000,1.4059292,48.18876941457586,0.0,-11.892517492561694
10.0,50000,1.5844324,47.05854241338113,0.0,7.109945630570665
10.0,55000,1.4144788,46.73034647550776,0.0,12.449822410531675
10.0,60000,1.2558546,47.08912783751494,0.0,0.8115310773244664
10.0,65000,2.0442607,45.39247311827957,0.0,42.142358094543965
10.0,70000,1.6470274,46.35424133811231,0.0,11.674509230880206
10.0,75000,1.5393059,47.970370370370354,0.0,-7.5618064156451785
10.0,80000,1.7656032,46.827479091995215,0.0,4.809177074657171
10.0,85000,2.4360955,45.0626045400239,0.0,49.20161852548569
10.0,90000,1.7813624,46.763679808841104,0.0,19.87003968342888
10.0,95000,2.2535367,46.043966547192355,0.0,29.35113164579518
10.0,100000,2.041952,45.670728793309436,0.0,38.834835136900715
10.0,105000,2.1263494,45.989008363201904,0.0,24.90716192762865
10.0,110000,1.8072605,46.482317801672636,0.0,19.600733521874044
10.0,115000,1.5430921,47.351373954599765,0.0,2.4193425376674766
10.0,120000,1.8530117,45.947789725209084,0.0,32.66271372726194
10.0,125000,2.038914,46.09318996415771,0.0,24.16537214457448
10.0,130000,2.06605,46.06379928315411,0.0,20.644837375367654
10.0,135000,1.2280211,47.57347670250896,0.0,-9.448680616809666
10.0,140000,1.7296174,46.73333333333334,0.0,13.814958899449417
10.0,145000,1.9899182,44.78195937873357,0.0,54.42088663735689
10.0,150000,1.7686306,46.376344086021504,0.0,24.41628643833975
