run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
26,0.5,48,0.0,-128.1,0.5208458755746784,True,917.0135858069617,0.5649302923692074
30,0.5,52,0.0,-128.1,0.5188447054617819,True,1193.3578763849837,0.46699088821416224
22,0.5,44,0.0,-128.1,0.5173429937269243,True,839.4147442448907,0.5906221966478843
25,0.5,47,0.0,-128.1,0.5165791280650451,True,831.3263337549557,0.5881601026880067
29,0.5,51,0.0,-128.1,0.518289184051047,True,845.1047121930742,0.5905290887061916
40,0.55,42,0.0,-128.1,0.5158669877768538,True,924.7012154833272,0.5994389653523933
31,0.5,53,0.0,-128.1,0.5149925463760175,True,1063.7854064724277,0.4948909154664745
32,0.5,54,0.0,-128.1,0.5174862706277183,True,859.2831455682614,0.5831888211829431
34,0.5,56,0.0,-128.1,0.5182402578694825,True,843.8666055110035,0.5857020901514092
35,0.5,57,0.0,-128.1,0.519507414983065,True,901.0516775961067,0.5597436494385801
37,0.5,59,0.0,-128.1,0.5277165188516677,True,840.4562119805911,0.5933544237878304
38,0.5,60,0.0,-128.1,0.5121162746831248,True,908.7678767988327,0.550665013531865
33,0.5,55,0.0,-128.1,0.5243769008931682,True,887.5375814496899,0.572721587857798
36,0.5,58,0.0,-127.0293,0.5130320506897498,False,1125.7299430942162,0.5077472944905944
39,0.5,61,0.0,-128.1,0.5177674686837654,True,855.6444047263575,0.5790976758891261
41,0.55,43,106.95657134056091,-28.38000000000012,0.42655535569249314,False,1624.9242858962716,0.6098114349417142
44,0.55,46,0.0,-128.1,0.508184749849319,True,854.0362348743114,0.621479555710021
42,0.55,44,0.0,-128.1,0.5173429937269243,True,899.3376643476348,0.597772718318753
45,0.55,47,0.0,-128.1,0.5165791280650451,True,914.2542735628706,0.578639814811048
46,0.55,48,0.0,-128.1,0.5208458755746784,True,1033.8262463190003,0.5525705862388794
48,0.55,50,101.99885070323944,114.48100000000007,0.2855489219638125,False,1522.015644887994,0.5611236567590128
47,0.55,49,0.0,-128.1,0.5314132341582017,True,826.9159320724091,0.6232595203430447
